Province,year,N,Rate
Alberta,2018-2019,17593,1657.0
Alberta,2019-2020,17150,1594.0
Alberta,2020-2021,15259,1403.0
Alberta,2021-2022,16589,1520.0
Alberta,2022-2023,14754,1322.0
Alberta,2023-2024,13999,1204.0
Ontario,2018-2019,54514,1598.0
Ontario,2019-2020,51589,1497.0
Ontario,2020-2021,40474,1174.0
Ontario,2021-2022,46080,1355.0
Ontario,2022-2023,42060,1204.0
Ontario,2023-2024,38457,1064.0
Quebec,2018-2019,27325,1501.0
Quebec,2019-2020,25729,1396.0
Quebec,2020-2021,20604,1108.0
Quebec,2021-2022,24175,1307.0
Quebec,2022-2023,22683,1208.0
Quebec,2023-2024,20520,1064.0
Total,2018-2019,99725,1582.0
Total,2019-2020,94756,1487.0
Total,2020-2021,76571,1196.0
Total,2021-2022,87109,1371.0
Total,2022-2023,79741,1227.0
Total,2023-2024,73198,1090.0
Yukon,2018-2019,293,3310.0
Yukon,2019-2020,288,3224.0
Yukon,2020-2021,234,2566.0
Yukon,2021-2022,265,2827.0
Yukon,2022-2023,244,2512.0
Yukon,2023-2024,222,2232.0
